iter	RMSE
0	83.62133586
1	55.69185399
2	42.26932473
3	34.55269075
4	29.53282874
5	26.35436974
6	23.77424923
7	22.2293425
8	20.50748836
9	19.20915541
10	18.32826886
11	17.68501859
12	17.01239373
13	16.43809609
14	15.98732648
15	15.4627466
16	15.00676341
17	14.72140432
18	14.01893719
19	13.66979285
20	13.39820864
21	12.98610487
22	12.59582952
23	12.35276664
24	12.15146492
25	11.70263509
26	11.44759451
27	11.21024243
28	10.9950179
29	10.82641707
30	10.65378706
31	10.47844827
32	10.36673849
33	10.13084952
34	9.988855676
35	9.768743659
36	9.576893972
37	9.456732781
38	9.332557839
39	9.137288494
40	8.873750812
41	8.769746901
42	8.60963662
43	8.46212868
44	8.374253588
45	8.304920914
46	8.161281593
47	8.066650854
48	7.941696762
49	7.854010646
50	7.716524694
51	7.670650897
52	7.580296449
53	7.463834519
54	7.371034994
55	7.291793497
56	7.252875315
57	7.159632403
58	7.100157104
59	7.032389905
60	6.913515562
61	6.829186692
62	6.755775556
63	6.679829636
64	6.642000687
65	6.602572242
66	6.558365091
67	6.500900164
68	6.437763733
69	6.36771092
70	6.344211007
71	6.256714233
72	6.222351593
73	6.196975206
74	6.126582049
75	6.087583134
76	6.049577625
77	5.989915578
78	5.94307692
79	5.900079065
80	5.788293824
81	5.738863051
82	5.71115936
83	5.656723283
84	5.607141884
85	5.579070311
86	5.538697342
87	5.488810928
88	5.453846132
89	5.42597586
90	5.400768877
91	5.342713469
92	5.29176851
93	5.264049907
94	5.21717418
95	5.189917582
96	5.160052512
97	5.120966232
98	5.108578295
99	5.09359422
