iter	Passed	Remaining
0	28	2859
1	53	2632
2	80	2613
3	107	2586
4	132	2519
5	157	2465
6	187	2485
7	214	2466
8	242	2453
9	269	2425
10	294	2380
11	322	2367
12	352	2358
13	379	2333
14	404	2293
15	430	2260
16	456	2228
17	485	2209
18	508	2169
19	540	2162
20	567	2133
21	590	2093
22	614	2058
23	641	2031
24	665	1995
25	689	1962
26	725	1960
27	748	1925
28	771	1888
29	797	1860
30	823	1833
31	847	1800
32	874	1774
33	900	1747
34	926	1720
35	951	1691
36	975	1661
37	1000	1632
38	1025	1603
39	1048	1573
40	1074	1545
41	1104	1525
42	1134	1503
43	1155	1470
44	1177	1439
45	1208	1418
46	1232	1390
47	1264	1370
48	1288	1340
49	1312	1312
50	1344	1291
51	1366	1261
52	1391	1233
53	1419	1209
54	1443	1180
55	1469	1154
56	1491	1125
57	1516	1098
58	1549	1076
59	1572	1048
60	1598	1021
61	1622	994
62	1646	966
63	1672	940
64	1700	915
65	1727	890
66	1751	862
67	1776	836
68	1800	808
69	1823	781
70	1848	755
71	1874	728
72	1899	702
73	1925	676
74	1957	652
75	1979	625
76	2003	598
77	2028	572
78	2052	545
79	2079	519
80	2103	493
81	2127	467
82	2152	440
83	2183	415
84	2216	391
85	2238	364
86	2263	338
87	2289	312
88	2315	286
89	2344	260
90	2371	234
91	2392	208
92	2418	182
93	2444	156
94	2473	130
95	2499	104
96	2526	78
97	2550	52
98	2574	26
99	2602	0
